Rk,name,code,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV_G,PP_G,SH_G,GW_G,EV_A,PP_A,SH_A,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,W,L,OL,TM_PTS,DIV,PLAYOFF,ppg%,ppa%,pkg%,pka%,Color
46,Anthony Beauvillier,beauvan01,21,NYI,LW,81,18,10,28,1,8,2.8,17,1,0,4,9,1,0,156,11.5,1186,14:39:00,35,87,26,31,45.6,48,27,7,103,MET,y,0.055555556,0.1,0,0,#00539B
47,Matt Beleskey,belesma01,30,NYR,LW,4,1,0,1,1,5,0.2,1,0,0,0,0,0,0,3,33.3,29,7:22:00,1,7,1,0,100,32,36,14,78,MET,n,0,NaN,0,NaN,#0038A8
48,Pierre-Edouard Bellemare,bellepi01,33,VEG,LW,76,6,9,15,2,6,0.7,4,0,2,0,9,0,0,108,5.6,945,12:26:00,51,71,393,326,54.7,43,32,7,93,PAC,y,0,0,0.333333333,0,#B4975A
49,Louie Belpedio,belpelo01,22,MIN,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,26,13:08:00,4,1,0,0,NA,37,36,9,83,CEN,n,NaN,NaN,NaN,NaN,#154734
50,Jamie Benn,bennja01,29,DAL,LW,78,27,26,53,14,56,6.6,19,8,0,2,23,3,0,189,14.3,1422,18:14:00,71,142,205,213,49,43,32,7,93,CEN,y,0.296296296,0.115384615,0,0,#006847
51,Jordie Benn,bennjo01,31,MTL,D,81,5,17,22,15,39,4.8,5,0,0,1,17,0,0,93,5.4,1474,18:12:00,128,124,0,0,NA,44,30,8,96,ATL,n,0,0,0,0,#AF1E2D
52,Sam Bennett,bennesa01,22,CGY,C,71,13,14,27,-6,93,1.9,9,4,0,2,12,2,0,115,11.3,944,13:17:00,27,121,50,40,55.6,50,25,7,107,PAC,y,0.307692308,0.142857143,0,0,#C8102E
53,Matt Benning,bennima01,24,EDM,D,70,5,12,17,11,33,4,5,0,0,0,10,1,1,94,5.3,1046,14:57:00,59,109,0,0,NA,35,38,9,79,PAC,n,0,0.083333333,0,0.083333333,#041E42
54,Patrice Bergeron,bergepa01,33,BOS,C,65,32,47,79,23,30,10.1,19,9,4,3,26,18,3,205,15.6,1200,18:28:00,60,43,786,603,56.6,49,24,9,107,ATL,y,0.28125,0.382978723,0.125,0.063829787,#FFB81C
55,Patrik Berglund,berglpa01,30,BUF,C,23,2,2,4,-5,6,0,2,0,0,0,2,0,0,25,8,300,13:03:00,16,25,68,48,58.6,33,39,10,76,ATL,n,0,0,0,0,#002654
56,Tyler Bertuzzi,bertuty01,23,DET,LW,73,21,26,47,11,36,5.2,18,3,0,4,23,3,0,131,16,1206,16:31:00,39,76,10,20,33.3,32,40,10,74,ATL,n,0.142857143,0.115384615,0,0,#CE1126
57,Alex Biega,biegaal01,30,VAN,D,41,2,14,16,0,22,2.7,2,0,0,0,13,1,0,91,2.2,725,17:40:00,43,101,0,0,NA,35,36,11,81,PAC,n,0,0.071428571,0,0,#00843D
58,Clark Bishop,bishocl01,22,CAR,C,20,1,2,3,-3,6,0,1,0,0,0,2,0,0,16,6.3,189,9:27:00,5,39,69,78,46.9,46,29,7,99,MET,y,0,0,0,0,#CC0000
59,Anthony Bitetto,bitetan01,28,NSH,D,18,0,3,3,1,8,0.6,0,0,0,0,3,0,0,15,0,192,10:40:00,23,40,0,0,NA,47,29,6,100,CEN,y,NaN,0,NaN,0,#FFB81C
59,Anthony Bitetto,bitetan01,28,MIN,D,18,0,0,0,-8,4,-0.2,0,0,0,0,0,0,0,15,0,237,13:11:00,13,40,0,0,NA,37,36,9,83,CEN,n,NaN,NaN,NaN,NaN,#154734
60,Anders Bjork,bjorkan01,22,BOS,LW,20,1,2,3,-1,2,0,1,0,0,0,2,0,0,18,5.6,236,11:48:00,12,9,1,0,100,49,24,9,107,ATL,y,0,0,0,0,#FFB81C
61,Oliver Bjorkstrand,bjorkol01,23,CBJ,RW,77,23,13,36,8,8,4.8,20,3,0,1,13,0,0,161,14.3,950,12:20:00,34,43,5,8,38.5,47,31,4,98,MET,y,0.130434783,0,0,0,#002654
62,Nick Bjugstad,bjugsni01,26,PIT,C,32,9,5,14,4,14,1.6,8,1,0,1,3,2,0,94,9.6,504,15:45:00,9,82,159,169,48.5,44,26,12,100,MET,y,0.111111111,0.4,0,0,#FCB514
62,Nick Bjugstad,bjugsni01,26,FLA,C,32,5,7,12,2,16,1,4,1,0,1,5,2,0,60,8.3,464,14:30:00,18,44,103,99,51,36,32,14,86,ATL,n,0.2,0.285714286,0,0,#B9975B
63,Colin Blackwell,blackco01,25,NSH,C,6,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,5,0,58,9:44:00,3,10,13,16,44.8,47,29,6,100,CEN,y,NaN,NaN,NaN,NaN,#FFB81C
64,Sammy Blais,blaissa01,22,STL,LW,32,2,2,4,-1,6,0.1,2,0,0,0,2,0,0,27,7.4,315,9:51:00,12,93,1,1,50,45,28,9,99,CEN,y,0,0,0,0,#002F87
65,Joseph Blandisi,blandjo01,24,PIT,C,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,7,0,35,5:51:00,1,6,0,0,NA,44,26,12,100,MET,y,NaN,NaN,NaN,NaN,#FCB514
65,Joseph Blandisi,blandjo01,24,ANA,C,3,0,0,0,-1,6,-0.1,0,0,0,0,0,0,0,1,0,32,10:39:00,0,4,0,0,NA,35,37,10,80,PAC,n,NaN,NaN,NaN,NaN,#F47A38
66,Anton Blidh,blidhan01,23,BOS,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,14,13:46:00,1,6,0,0,NA,49,24,9,107,ATL,y,NaN,NaN,NaN,NaN,#FFB81C
67,Teddy Blueger,bluegte01,24,PIT,C,28,6,4,10,7,15,1.3,5,0,1,1,2,0,2,33,18.2,310,11:03:00,14,52,41,51,44.6,44,26,12,100,MET,y,0,0,0.166666667,0.5,#FCB514
68,Mikkel Boedker,boedkmi01,29,OTT,RW,71,7,28,35,-23,6,1.6,5,2,0,1,23,5,0,88,8,996,14:01:00,28,54,7,11,38.9,29,47,6,64,ATL,n,0.285714286,0.178571429,0,0,#C2912C
69,Brock Boeser,boesebr01,21,VAN,RW,69,26,30,56,-2,22,6.3,20,6,0,3,21,9,0,209,12.4,1322,19:10:00,22,14,39,51,43.3,35,36,11,81,PAC,n,0.230769231,0.3,0,0,#00843D
70,Zach Bogosian,bogosza01,28,BUF,D,65,3,16,19,-5,52,3.7,2,0,1,0,15,1,0,93,3.2,1406,21:38:00,116,83,0,0,NA,33,39,10,76,ATL,n,0,0.0625,0.333333333,0,#002654
71,Nick Bonino,boninni01,30,NSH,C,81,17,18,35,27,18,4.1,14,3,0,1,17,0,1,118,14.4,1321,16:18:00,70,24,586,546,51.8,47,29,6,100,CEN,y,0.176470588,0,0,0.055555556,#FFB81C
72,William Borgen,borgewi01,22,BUF,D,4,0,0,0,-5,0,-0.3,0,0,0,0,0,0,0,2,0,66,16:33:00,3,12,0,0,NA,33,39,10,76,ATL,n,NaN,NaN,NaN,NaN,#002654
73,Henrik Borgström,borgshe01,21,FLA,C,50,8,10,18,-14,4,1.1,5,3,0,0,6,4,0,54,14.8,600,12:00:00,12,11,165,240,40.7,36,32,14,86,ATL,n,0.375,0.4,0,0,#B9975B
74,Mark Borowiecki,borowma01,29,OTT,D,53,1,4,5,-12,89,0.4,1,0,0,0,4,0,0,59,1.7,825,15:34:00,93,212,0,0,NA,29,47,6,64,ATL,n,0,0,0,0,#C2912C
75,Robert Bortuzzo,borturo01,29,STL,D,59,2,8,10,9,47,2.8,2,0,0,0,7,0,1,75,2.7,913,15:28:00,72,95,0,0,NA,45,28,9,99,CEN,y,0,0,0,0.125,#002F87
76,Evan Bouchard,bouchev01,19,EDM,D,7,1,0,1,-5,2,-0.1,0,1,0,0,0,0,0,10,10,86,12:21:00,8,6,0,0,NA,35,38,9,79,PAC,n,1,NaN,0,NaN,#041E42
77,Reid Boucher,bouchre01,25,VAN,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,5:28:00,0,1,0,0,NA,35,36,11,81,PAC,n,NaN,NaN,NaN,NaN,#00843D
